0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:48 +0700] "GET /webbanmatkinh/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:48 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:48 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:48 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:48 +0700] "GET /webbanmatkinh/template/web/images/all-bg-title.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:54 +0700] "GET /webbanmatkinh/san-pham/danh-sach?page=1&limit=6 HTTP/1.1" 200 35045
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:54 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:54 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:54 +0700] "GET /webbanmatkinh/san-pham/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:55 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:55 +0700] "GET /webbanmatkinh/template/web/images/all-bg-title.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:26:55 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:06 +0700] "GET /webbanmatkinh/san-pham/mat-kinh-nam?page=1&limit=6 HTTP/1.1" 200 35047
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:06 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:06 +0700] "GET /webbanmatkinh/san-pham/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:06 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:06 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:06 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:06 +0700] "GET /webbanmatkinh/template/image/image7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:06 +0700] "GET /webbanmatkinh/template/web/images/all-bg-title.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:06 +0700] "GET /webbanmatkinh/template/image/image10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:12 +0700] "GET /webbanmatkinh/san-pham/danh-sach?page=2&limit=6 HTTP/1.1" 200 35053
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:12 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:12 +0700] "GET /webbanmatkinh/san-pham/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:12 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:12 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:12 +0700] "GET /webbanmatkinh/template/web/images/all-bg-title.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:12 +0700] "GET /webbanmatkinh/template/image/image8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:12 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:12 +0700] "GET /webbanmatkinh/template/image/image9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:29:12 +0700] "GET /webbanmatkinh/template/image/image12.png HTTP/1.1" 200 2645909
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/about HTTP/1.1" 200 22438
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/images/about-img.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/images/img-2.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/images/img-1.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/images/img-3.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:18 +0700] "GET /webbanmatkinh/template/web/images/all-bg-title.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:20 +0700] "GET /webbanmatkinh/san-pham/danh-sach?page=1&limit=6 HTTP/1.1" 200 35045
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:20 +0700] "GET /webbanmatkinh/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:20 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:20 +0700] "GET /webbanmatkinh/san-pham/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:20 +0700] "GET /webbanmatkinh/template/web/css/nice-select.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:20 +0700] "GET /webbanmatkinh/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:20 +0700] "GET /webbanmatkinh/template/web/images/all-bg-title.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:28 +0700] "POST /webbanmatkinh/san-pham/them-gio-hang/37 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [09/Nov/2021:23:32:29 +0700] "GET /webbanmatkinh/them-gio-hang/37 HTTP/1.1" 500 14291
